thanks,10,0,0.10987609
saying,10,1,0.614918591
oh,10,0,1.245262351
makes,10,0,1.334209662
once,10,0,1.334209662
every,10,0,1.436841174
claim,10,0,1.436841174
times,10,0,1.556577938
section,11,0,0.477833228
remove,11,1,0.538053768
off,11,1,0.676410451
wrong,11,1,0.676410451
word,11,0,1.284176799
deal,11,0,1.284176799
part,11,0,1.369788586
against,11,0,1.369788586
changing,11,0,1.369788586
tried,11,1,1.578291051
suggestions,11,1,1.578291051
nothing,11,0,1.580525291
allowed,11,0,1.580525291
useful,11,1,1.691026126
attack,11,0,1.712235732
cannot,11,0,1.712235732
wonder,11,1,1.821105059
sounds,11,1,1.821105059
day,11,1,1.821105059
hope,11,1,1.821105059
planning,11,1,1.972863814
people,12,1,0.487293978
actually,12,1,0.614918591
explain,12,1,0.679646864
must,12,0,1.245262351
reverting,12,0,1.400920145
supposed,12,0,1.494314821
wanted,12,1,2.15221507
mean,13,1,0.582891581
even,13,1,0.650669672
delete,13,1,0.666161807
thing,13,1,0.717405023
come,13,1,0.717405023
missing,13,0,1.349034213
material,13,0,1.51766349
given,13,0,1.51766349
summary,13,0,1.51766349
evidence,13,0,1.73447256
reply,13,1,1.748674744
clarify,13,1,1.865253061
happy,13,1,1.998485422
reason,14,1,0.734902707
english,14,0,1.245262351
consider,14,0,1.307525468
editors,14,0,1.376342598
notable,14,0,1.376342598
nomination,14,1,1.772412411
map,14,1,2.008734065
really,15,1,0.481839195
anyone,15,0,1.273563768
making,15,0,1.273563768
wouldn't,15,0,1.400920145
removing,15,0,1.474652784
sense,15,0,1.474652784
stop,15,0,1.556577938
possible,15,1,1.614161303
started,15,1,1.614161303
hi,16,0,0.224708996
person,16,1,0.702764105
someone,16,1,0.73266896
never,16,0,1.245262351
care,16,0,1.358468019
shouldn't,16,0,1.572962969
fix,16,1,1.639782911
stuff,16,1,1.721772056
yourself,17,0,1.380616954
though,17,1,1.663075281
personal,17,0,1.764121664
request,17,1,1.82938281
editor,18,0,1.344883339
talking,18,0,1.400920145
nowiki,18,0,1.400920145
looking,18,1,1.614161303
saw,18,1,1.684342229
say,19,1,0.681534772
consensus,19,0,1.267499178
few,19,1,1.635683453
him,20,0,1.288202432
answer,20,0,1.334209662
issue,20,0,1.494314821
working,20,1,1.793512558
looks,21,1,1.807860659
willing,21,1,1.883188186
chance,21,1,1.883188186
thoughts,21,1,1.883188186
found,21,1,1.883188186
exactly,22,0,1.712235732
who,23,1,0.521062596
off,24,0,1.280841275
wrong,24,0,1.280841275
nice,24,1,1.913080062
saying,25,0,1.334209662
blocked,25,0,1.556577938
hello,25,1,1.793512558
great,25,1,1.921620598
good,26,0,0.500672492
thing,26,0,1.245262351
come,26,0,1.245262351
explain,26,0,1.278032413
without,26,0,1.428389167
able,26,1,1.748674744
reason,27,0,1.230076225
isn't,27,0,1.363057438
wondering,27,1,1.709111967
then,29,1,0.709252694
delete,29,0,1.289736006
he,30,1,0.679646864
even,30,0,1.30318153
actually,30,0,1.334209662
why,31,1,0.227708762
edit,31,1,0.623538946
someone,31,0,1.232014879
section,32,1,1.601648424
person,33,0,1.257969109
remove,33,0,1.400920145
hey,33,1,1.732270666
interested,33,1,1.821105059
mean,35,0,1.362005696
please,36,0,0.490833335
mind,37,1,1.809817218
could,40,0,0.315256291
sorry,40,1,1.756910261
say,41,0,1.27639391
people,41,0,1.444974237
all,42,1,0.734902707
really,52,0,1.449708408
did,54,1,0.631628336
thank,58,1,2.15221507
then,59,0,1.252337705
good,71,1,1.57533268
who,72,0,1.415666672
edit,76,0,1.326728112
all,81,0,1.230076225
please,101,1,1.586669504
help,102,1,1.995690338
not,110,1,0.638123067
hi,117,1,1.893301979
did,130,0,1.319707383
thanks,160,1,2.025614184
could,197,1,1.78897202
not,261,0,1.314070648
why,262,0,1.670266566
hell,9,0,1.867893526
banned,7,0,1.867893526
joke,4,0,1.867893526
bizarre,5,0,1.867893526
eh,9,0,1.867893526
hardly,5,0,1.867893526
violated,5,0,1.867893526
joking,5,0,1.867893526
hmm,5,0,1.867893526
